"date","year","month","CRE_SW","CRE_LW","CRE_net"
1997-09-01,1997,9,-44.8119804408126,25.32206881281,-19.4899116280026
1997-10-01,1997,10,-46.7458736728951,26.089755314373,-20.6561183585221
1997-11-01,1997,11,-46.4054650877686,25.400567999607,-21.0048970881616
1997-12-01,1997,12,-49.1210865028625,25.674602581548,-23.4464839213145
1998-01-01,1998,1,-50.3277152880441,25.562831308793,-24.7648839792511
1998-02-01,1998,2,-49.0729363661853,25.434014540154,-23.6389218260313
1998-03-01,1998,3,-46.5221661376062,25.93248500214,-20.5896811354662
1998-04-01,1998,4,-43.5400639419288,25.573430887935,-17.9666330539937
1998-05-01,1998,5,-42.2657098755916,25.774317428935,-16.4913924466566
1998-06-01,1998,6,-43.9396230496202,25.869433005329,-18.0701900442912
1998-07-01,1998,7,-44.5276312711587,25.5664145643721,-18.9612167067867
1998-08-01,1998,8,-45.2826166976939,25.588130006312,-19.6944866913819
1998-09-01,1998,9,-47.8254387886664,26.783741096964,-21.0416976917024
1998-10-01,1998,10,-46.6853817541829,25.917935396426,-20.7674463577569
1998-11-01,1998,11,-48.8863260172327,25.65732237206,-23.2290036451728
1998-12-01,1998,12,-51.1808740068234,25.9967842033871,-25.1840898034364
1999-01-01,1999,1,-50.2345419088995,25.21563300552,-25.0189089033795
1999-02-01,1999,2,-47.9216751319987,24.941232383724,-22.9804427482747
1999-03-01,1999,3,-44.0681079290864,24.707414357492,-19.3606935715944
1999-04-01,1999,4,-42.4528538540071,25.588330225072,-16.8645236289352
1999-05-01,1999,5,-41.998019168929,26.0569109789971,-15.941108189932
1999-06-01,1999,6,-42.0668861969375,25.335384755523,-16.7315014414145
1999-07-01,1999,7,-45.561497777308,26.0611897881449,-19.5003079891631
1999-08-01,1999,8,-46.1020841875957,26.010143343435,-20.0919408441607
1999-09-01,1999,9,-47.0984008304473,26.464477327566,-20.6339235028813
1999-10-01,1999,10,-48.2736953512502,26.752964847504,-21.5207305037462
1999-11-01,1999,11,-48.8917956125989,26.444006920023,-22.447788692576
1999-12-01,1999,12,-51.3469308412813,26.521377063489,-24.8255537777923
2000-01-01,2000,1,-50.4467917833904,26.016523108246,-24.4302686751444
2000-02-01,2000,2,-48.4563254876206,25.414439241878,-23.0418862457426
2000-03-01,2000,3,-44.5709347517169,25.416073831019,-19.1548609206979
2000-04-01,2000,4,-42.7277498184722,25.8290847924289,-16.8986650260433
2000-05-01,2000,5,-43.3703760760883,26.809656203958,-16.5607198721303
2000-06-01,2000,6,-43.1772822636786,25.826113508055,-17.3511687556236
2000-07-01,2000,7,-44.3917656870487,25.683365053826,-18.7084006332227
2000-08-01,2000,8,-44.9426059167555,25.3458768019919,-19.5967291147635
2000-09-01,2000,9,-46.1573080251379,26.022140998228,-20.1351670269099
2000-10-01,2000,10,-48.7928740137309,26.936748252296,-21.8561257614348
2000-11-01,2000,11,-48.8594621078673,26.3218298319321,-22.5376322759352
